Compuesto,fase,fukui
CA 89,gas,0.5263
CA 89,agua,0.5505
CA 89,decalina,0.536
CA 90,gas,0.506
CA 90,agua,0.5353
CA 90,decalina,0.5179
CA 4,gas,0.5114
CA 4,agua,0.5379
CA 4,decalina,0.5223
CA 91,gas,0.487
CA 91,agua,0.5207
CA 91,decalina,0.5007
CA 5,gas,0.493
CA 5,agua,0.5245
CA 5,decalina,0.5055
CA 9,gas,0.4832
CA 9,agua,0.5139
CA 9,decalina,0.495
CA 6,gas,0.4777
CA 6,agua,0.513
CA 6,decalina,0.4917
CA 94,gas,0.4864
CA 94,agua,0.5197
CA 94,decalina,0.4993
CA 10,gas,0.4754
CA 10,agua,0.5208
CA 10,decalina,0.4942
CA 95,gas,0.4944
CA 95,agua,0.5262
CA 95,decalina,0.5071
CA 11,gas,0.4707
CA 11,agua,0.4871
CA 11,decalina,0.4846
CA 13,gas,0.4482
CA 13,agua,0.4955
CA 13,decalina,0.4674
CA 3,gas,0.4936
CA 3,agua,0.537
CA 3,decalina,0.5142
CA 12,gas,0.4577
CA 12,agua,0.4965
CA 12,decalina,0.4729
CA 1,gas,0.5522
CA 1,agua,0.5666
CA 1,decalina,0.5582
CA 2,gas,0.5231
CA 2,agua,0.55
CA 2,decalina,0.5351
CA 92,gas,0.4604
CA 92,agua,0.4935
CA 92,decalina,0.4745
CA 93,gas,0.4516
CA 93,agua,0.4676
CA 93,decalina,0.4482
CA 7,gas,0.4511
CA 7,agua,0.4868
CA 7,decalina,0.4652
CA 8,gas,0.438
CA 8,agua,0.4754
CA 8,decalina,0.4527
CA 14,gas,0.519
CA 14,agua,0.3491
CA 14,decalina,0.3384
CA 98,gas,0.2986
CA 98,agua,0.3042
CA 98,decalina,0.3015
CA 96,gas,0.3317
CA 96,agua,0.3406
CA 96,decalina,0.3346
CA 97,gas,0.3142
CA 97,agua,0.3241
CA 97,decalina,0.3182
CA 102,gas,0.278
CA 102,agua,0.2977
CA 102,decalina,0.2867
CA 101,gas,0.2826
CA 101,agua,0.2826
CA 101,decalina,0.2901
CA 100,gas,0.2847
CA 100,agua,0.2997
CA 100,decalina,0.2912
CA 15,gas,0.3023
CA 15,agua,0.3098
CA 15,decalina,0.3063
CA 82,gas,0.2584
CA 82,agua,0.2704
CA 82,decalina,0.2646
CA 72,gas,0.26
CA 72,agua,0.2702
CA 72,decalina,0.2653
CA 85,gas,0.2485
CA 85,agua,0.2639
CA 85,decalina,0.2537
CA 77,gas,0.2349
CA 77,agua,0.2364
CA 77,decalina,0.238
CA 71,gas,0.213
CA 71,agua,0.095
